"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D10,D9,D8,D2,D1";"LED_0603_1608Metric";5;"LED";;;
2;"R28,R26,R27,R5,R8,R11,R13,R12";"R_0805_2012Metric";8;"510r";;;
3;"JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"PWR_USB";;;
4;"C38,C37,C21,C18,C17,C16,C8,C7,C4,C6,C5,C19,C24,C25,C26,C23,C22,C20,C27,C28,C29";"C_0805_2012Metric";21;"100nF";;;
5;"J13";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_02x20_Odd_Even";;;
6;"J15";"SolderedPad_1x11_P2.54";1;"Conn_linesens_Female";;;
7;"J21";"Soldered_pad_01x03_4x5";1;"ESC_MOTOR";;;
8;"J22";"Soldered_pad_01x03_4x5";1;"MOTOR_ESC";;;
9;"J16";"PinSocket_1x11_P2.54mm_Horizontal";1;"Conn_linesens_Male";;;
10;"SW5";"SW_DIP_SPSTx04_Slide_KingTek_DSHP04TS_W7.62mm_P1.27mm";1;"SW_DIP_x04";;;
11;"SW3";"SW_SPST_FSMSM";1;"uBTN_2";;;
12;"SW4";"SW_SPST_FSMSM";1;"uBTN_3";;;
13;"SW6";"SW_SPST_FSMSM";1;" RST";;;
14;"SW2";"SW_SPST_FSMSM";1;"uBTN_1";;;
15;"SW1";"SW_SPST_FSMSM";1;"uBTN_0";;;
16;"C1,C2";"CP_Elec_5x5.3";2;"10uF";;;
17;"C36,C35,C10,C9";"CP_Elec_6.3x5.4";4;"100uF";;;
18;"C13,C12";"C_0805_2012Metric";2;"22pF";;;
19;"C15,C14";"C_0805_2012Metric";2;"2.2uF";;;
20;"C3";"C_0805_2012Metric";1;"1nF";;;
21;"C30";"C_0805_2012Metric";1;"4.7uF";;;
22;"C31,C34";"C_0805_2012Metric";2;"1uF";;;
23;"C32,C33";"C_0805_2012Metric";2;"6.8pF";;;
24;"J14";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card_Det";;;
25;"U12";"JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical";1;"UM7";;;
26;"U9";"JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical";1;"M_L";;;
27;"U8";"JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical";1;"M_R";;;
28;"J4";"PinSocket_1x02_P2.54mm_Vertical";1;"5v";;;
29;"J9";"PinSocket_1x02_P2.54mm_Vertical";1;"ESC_CTRL";;;
30;"J3,J2";"PinSocket_1x02_P2.54mm_Vertical";2;"3v3";;;
31;"J7,J10";"PinSocket_1x04_P2.54mm_Vertical";2;"I2C";;;
32;"J11";"PinSocket_1x04_P2.54mm_Vertical";1;"BT_module";;;
33;"J6";"PinSocket_1x06_P2.54mm_Vertical";1;"SPI2";;;
34;"J5";"PinSocket_2x05_P2.54mm_Vertical";1;"SWD+UART";;;
35;"J12";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
36;"Y2";"Crystal_HC49-4H_Vertical";1;"32MHz";;;
37;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"8MHz";;;
38;"D5,D7";"D_SMB";2;"stps2l40u";;;
39;"D3,D4";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4001";;;
40;"JP1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"PWR_SELECT";;;
41;"D6";"LED_RGB_5050-6";1;"LED_RGB";;;
42;"U13";"LQFP-144_20x20mm_P0.5mm";1;"STM32F429ZITx";;;
43;"U7";"TQFP-48-1EP_7x7mm_P0.5mm_EP3.5x3.5mm";1;"ADG726BSUZ";;;
44;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ACS712xLCTR-30A";;;
45;"U4";"TSOP-6_1.65x3.05mm_P0.95mm";1;"IP4220CZ6";;;
46;"U3";"TO-252-3_TabPin2";1;"LM1117-3.3";;;
47;"U2";"TO-263-3_TabPin2";1;"L7805";;;
48;"R4,R3,R19,R20,R23,R24,R1,R2";"R_0805_2012Metric";8;"10k";;;
49;"R6";"R_0805_2012Metric";1;"1k";;;
50;"R7";"R_0805_2012Metric";1;"1.8k";;;
51;"R9";"R_0805_2012Metric";1;"20k";;;
52;"R10";"R_0805_2012Metric";1;"5.6k";;;
53;"R14,R15,R17,R18,R25,R16";"R_0805_2012Metric";6;"47k";;;
54;"R22,R21";"R_0805_2012Metric";2;"22r";;;
55;"U11";"AltIMU10_v5";1;"AltIMU-10v5";;;
56;"U5,U6";"MAX14870_Carrier";2;"MAX14870_carrier";;;
57;"F1";"MF-MSMF-A";1;"MF-SM250";;;
58;"F2";"MF-MSMF-A";1;"MF-MSMF050";;;
59;"J1";"Soldered_pad_01x02_4x6";1;"BATT";;;
60;"J8";"Soldered_pad_01x02_4x6";1;"ESC";;;
61;"U10";"Troyka_IMU";1;"Troyka-IMU10";;;
